id,name,Branch,IsAdvantage,Price,ForwardingBandwidth,SwitchingBandwidth,ForwardingCapacity,RAM,Flash,Stackable,Stack_Members,Maximumnumberofunitsinavirtualchassis,PoE_15_4WPort,PoE+ (30W) Port,UPOE_60W_Port,HPOE_75_W_Port,_95W_802_3bt_PoE,_1GE_BaseT_Ports,_1GE_BaseX_SFP_port,_1G_SFP_plus_port_,RJ45_SFP_combo_1G,_1G_10G_RJ45_SFP_combo,_mgig_port_100M_1G_2_5G_5G,_mgig_port_100M_1G_2_5G_5G_10G,_mgig_port_1G_2_5G_BaseT,_mgig_port_100M_1G_2_5G_BaseT,_20G_QSFP_plus_stacking_ports,_1G_SPF_port,_1G_10G_SFP_plus_,_10_25G_SFP28,_10GE_SFP_plus_Ports,_40GE_QSFP_plus_Ports,_100GE_QSFP28_Ports,_MAC_Address_Table,_VLANs_ID,_VLAN_active,_VLAN_Interfaces_SVI_for_L3_Sw_,_Jumbo_Frame_Bytes_,_Total_number_of_IPv4_routes_ARP_plus_learned_routes_,_MAX_IPv4_routes,_MAX_IPv6_routes,_Multicast_groups,_QoS_scale_entries,_ACL_scale_entries,_Flexible_NetFlow__FNF_entries,_Power_Redundancy,Static_Routing,RIP,OSPF_Routed_Access,OSPF_Full,BGP,IS_IS,VXLAN,MACSec,MACSec_128_bit,MACSec_256_bit,PBR,Private_VLAN,VRRP,DAI,uRPF,_802_1x,SPAN_and_RSPAN,ERSPAN,EEM,Automation
1,OS6360-10,Nokia,,,24,,"17,9",1000,1000,,,,,,,,,8,,,0,,,,,,,2,,,0,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
2,OS6360-P10,Nokia,,,24,,"17,9",1000,1000,,,,,8,,,,8,,,0,,,,,,,2,,,0,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
3,OS6360-24,Nokia,,,92,,"68,5",1000,1000,,,,,,,,,24,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
4,OS6360-P24,Nokia,,,92,,"68,5",1000,1000,,,,,24,,,,24,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
5,OS6360-48,Nokia,,,140,,"104,2",1000,1000,,,,,,,,,48,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
6,OS6360-P48,Nokia,,,140,,"104,2",1000,1000,,,,,48,,,,48,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
7,OS6360-PH24,Nokia,,,128,,"68,5",1000,1000,1,,4,,24,,,,24,,,2,2*,,,,,,,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
8,OS6360-P24X,Nokia,,,128,,"95,3",1000,1000,1,,4,,24,,,,24,,,0,2,,,,,,,2,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
9,OS6360-P48X,Nokia,,,182,,"135,4",1000,1000,1,,4,,46,2,,,46,,,0,2,,,2,,,,2,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
10,OS6360-PH48,Nokia,,,182,,217,1000,1000,1,,4,,46,2,,,46,,,0,2*,,,,,,,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
11,OS6560-24X4,Nokia,,,168,,125,1000,1000,1,,8,,,,,,24,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
12,OS6560-P24X4,Nokia,,,168,,125,1000,1000,1,,8,,24,,,,24,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
13,OS6560-48X4,Nokia,,,216,,"160,7",1000,1000,1,,8,,,,,,48,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
14,OS6560-P48X4,Nokia,,,216,,"160,7",1000,1000,1,,8,,48,,,,48,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
15,OS6560-X10,Nokia,,,240,,"178,6",1000,1000,1,,8,,,,,,0,,,,,,,,,2,,8,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
16,OS6560-P24Z24,Nokia,,,280,,208,2000,2000,1,,8,24,,,,,24,,,,,,,,24,2,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,0,,,,,1,,,1,,,,
17,OS6560-P48Z16,Nokia,,,304,,226,2000,2000,1,,8,48,,,,,48,,,,,,,,16,2,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
18,OS6560-P24Z8,Nokia,,,112,,"83,33",2000,2000,1,,8,24,,,,,24,,,,,,,,8,0,,2,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,0,,,,,1,,,1,,,,
19,OS6860-E-24,Nokia,,,208,,"154,9",2000,2000,1,,8,,,,,,24,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
20,OS6860-E-P24,Nokia,,,208,,"154,9",2000,2000,1,,8,,20,4,,,24,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
21,OS6860-E-48,Nokia,,,256,,"190,6",2000,2000,1,,8,,,,,,48,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
22,OS6860-E-P48,Nokia,,,256,,"190,6",2000,2000,1,,8,,44,4,,,48,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
23,OS6860-E-P24Z8,Nokia,,,232,,"172,6",2000,2000,1,,8,,16,,4,,16,,,,,4,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
24,OS6860-N-U28,Nokia,,,728,,"541,7",4000,16000,1,,8,,,,,,,24,,,,,,,,,,4,4,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
25,OS6860-N-P24Z,Nokia,,,744,,"553,6",4000,16000,1,,8,,,12,,12,12,,,,,12,,,,,,,4,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
26,OS6860-N-P48Z,Nokia,,,792,,"589,3",4000,16000,1,,8,,,36,,12,36,,,,,12,,,,,,,4,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
27,OS6860-N-P48M,Nokia,,,1020,,"758,9",4000,16000,1,,8,,,,,48,,,,,,36,12,,,,,,,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
28,OS6860-N-P24M,Nokia,,,1080,,"803,5",4000,16000,1,,8,,,,,24,,,,,,,24,,,,,,,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
29,OS6360-10,Nokia,,,24,,"17,9",1000,1000,,,,,,,,,8,,,0,,,,,,,2,,,0,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
30,OS6360-P10,Nokia,,,24,,"17,9",1000,1000,,,,,8,,,,8,,,0,,,,,,,2,,,0,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
31,OS6360-24,Nokia,,,92,,"68,5",1000,1000,,,,,,,,,24,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
32,OS6360-P24,Nokia,,,92,,"68,5",1000,1000,,,,,24,,,,24,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
33,OS6360-48,Nokia,,,140,,"104,2",1000,1000,,,,,,,,,48,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
34,OS6360-P48,Nokia,,,140,,"104,2",1000,1000,,,,,48,,,,48,,,2,,,,,,,0,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
35,OS6360-PH24,Nokia,,,128,,"68,5",1000,1000,1,,4,,24,,,,24,,,2,2*,,,,,,,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
36,OS6360-P24X,Nokia,,,128,,"95,3",1000,1000,1,,4,,24,,,,24,,,0,2,,,,,,,2,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
37,OS6360-P48X,Nokia,,,182,,"135,4",1000,1000,1,,4,,46,2,,,46,,,0,2,,,2,,,,2,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
38,OS6360-PH48,Nokia,,,182,,217,1000,1000,1,,4,,46,2,,,46,,,0,2*,,,,,,,,,2,,,16000,4000,,,9216,,,,1000,,,,0,1,,,,,,,,,,,,,,,,,,,
39,OS6560-24X4,Nokia,,,168,,125,1000,1000,1,,8,,,,,,24,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
40,OS6560-P24X4,Nokia,,,168,,125,1000,1000,1,,8,,24,,,,24,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
41,OS6560-48X4,Nokia,,,216,,"160,7",1000,1000,1,,8,,,,,,48,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
42,OS6560-P48X4,Nokia,,,216,,"160,7",1000,1000,1,,8,,48,,,,48,,2*,,,,,,,,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
43,OS6560-X10,Nokia,,,240,,"178,6",1000,1000,1,,8,,,,,,0,,,,,,,,,2,,8,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
44,OS6560-P24Z24,Nokia,,,280,,208,2000,2000,1,,8,24,,,,,24,,,,,,,,24,2,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,0,,,,,1,,,1,,,,
45,OS6560-P48Z16,Nokia,,,304,,226,2000,2000,1,,8,48,,,,,48,,,,,,,,16,2,,4,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,
46,OS6560-P24Z8,Nokia,,,112,,"83,33",2000,2000,1,,8,24,,,,,24,,,,,,,,8,0,,2,,,,,16000,4000,,,9216,,,,1000,,,,1,1,1,,1,,,,0,,,,,1,,,1,,,,
47,OS6860-E-24,Nokia,,,208,,"154,9",2000,2000,1,,8,,,,,,24,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
48,OS6860-E-P24,Nokia,,,208,,"154,9",2000,2000,1,,8,,20,4,,,24,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
49,OS6860-E-48,Nokia,,,256,,"190,6",2000,2000,1,,8,,,,,,48,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
50,OS6860-E-P48,Nokia,,,256,,"190,6",2000,2000,1,,8,,44,4,,,48,,,,,,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
51,OS6860-E-P24Z8,Nokia,,,232,,"172,6",2000,2000,1,,8,,16,,4,,16,,,,,4,,,,,,4,,,,,48000,4000,,,9216,,64000,6000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
52,OS6860-N-U28,Nokia,,,728,,"541,7",4000,16000,1,,8,,,,,,,24,,,,,,,,,,4,4,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
53,OS6860-N-P24Z,Nokia,,,744,,"553,6",4000,16000,1,,8,,,12,,12,12,,,,,12,,,,,,,4,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
54,OS6860-N-P48Z,Nokia,,,792,,"589,3",4000,16000,1,,8,,,36,,12,36,,,,,12,,,,,,,4,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
55,OS6860-N-P48M,Nokia,,,1020,,"758,9",4000,16000,1,,8,,,,,48,,,,,,36,12,,,,,,,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
56,OS6860-N-P24M,Nokia,,,1080,,"803,5",4000,16000,1,,8,,,,,24,,,,,,,24,,,,,,,,,,64000,4000,,,9216,,144000,72000,,,,,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,
